Epoch: 0, NMI against class labels: 0.091, domain labels: 0.671, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.095, domain labels: 0.648, previous assignment: 0.760
Epoch: 2, NMI against class labels: 0.068, domain labels: 0.682, previous assignment: 0.758
Epoch: 3, NMI against class labels: 0.110, domain labels: 0.629, previous assignment: 0.666
Epoch: 4, NMI against class labels: 0.101, domain labels: 0.644, previous assignment: 0.764
Epoch: 5, NMI against class labels: 0.104, domain labels: 0.630, previous assignment: 0.858
Epoch: 6, NMI against class labels: 0.068, domain labels: 0.674, previous assignment: 0.712
Epoch: 7, NMI against class labels: 0.111, domain labels: 0.618, previous assignment: 0.680
Epoch: 8, NMI against class labels: 0.108, domain labels: 0.622, previous assignment: 0.864
Epoch: 9, NMI against class labels: 0.108, domain labels: 0.620, previous assignment: 0.850
Epoch: 10, NMI against class labels: 0.068, domain labels: 0.698, previous assignment: 0.661
Epoch: 11, NMI against class labels: 0.113, domain labels: 0.607, previous assignment: 0.651
Epoch: 12, NMI against class labels: 0.110, domain labels: 0.614, previous assignment: 0.923
Epoch: 13, NMI against class labels: 0.115, domain labels: 0.618, previous assignment: 0.894
Epoch: 14, NMI against class labels: 0.123, domain labels: 0.601, previous assignment: 0.642
Epoch: 15, NMI against class labels: 0.098, domain labels: 0.615, previous assignment: 0.643
Epoch: 16, NMI against class labels: 0.112, domain labels: 0.619, previous assignment: 0.805
Epoch: 17, NMI against class labels: 0.094, domain labels: 0.625, previous assignment: 0.761
Epoch: 18, NMI against class labels: 0.103, domain labels: 0.616, previous assignment: 0.862
Epoch: 19, NMI against class labels: 0.107, domain labels: 0.614, previous assignment: 0.849
Epoch: 20, NMI against class labels: 0.106, domain labels: 0.612, previous assignment: 0.885
Epoch: 21, NMI against class labels: 0.114, domain labels: 0.611, previous assignment: 0.884
Epoch: 22, NMI against class labels: 0.108, domain labels: 0.629, previous assignment: 0.889
Epoch: 23, NMI against class labels: 0.110, domain labels: 0.621, previous assignment: 0.843
Epoch: 24, NMI against class labels: 0.106, domain labels: 0.617, previous assignment: 0.791
Epoch: 25, NMI against class labels: 0.106, domain labels: 0.617, previous assignment: 0.953
Epoch: 26, NMI against class labels: 0.109, domain labels: 0.618, previous assignment: 0.942
Epoch: 27, NMI against class labels: 0.109, domain labels: 0.618, previous assignment: 0.966
Epoch: 28, NMI against class labels: 0.109, domain labels: 0.618, previous assignment: 0.974
Epoch: 29, NMI against class labels: 0.108, domain labels: 0.621, previous assignment: 0.977
Epoch: 30, NMI against class labels: 0.108, domain labels: 0.622, previous assignment: 0.914
Epoch: 31, NMI against class labels: 0.106, domain labels: 0.622, previous assignment: 0.928
Epoch: 32, NMI against class labels: 0.107, domain labels: 0.623, previous assignment: 0.984
Epoch: 33, NMI against class labels: 0.108, domain labels: 0.623, previous assignment: 0.983
Epoch: 34, NMI against class labels: 0.108, domain labels: 0.623, previous assignment: 0.948
Epoch: 35, NMI against class labels: 0.107, domain labels: 0.623, previous assignment: 0.978
Epoch: 36, NMI against class labels: 0.108, domain labels: 0.622, previous assignment: 0.959
Epoch: 37, NMI against class labels: 0.108, domain labels: 0.624, previous assignment: 0.955
Epoch: 38, NMI against class labels: 0.107, domain labels: 0.623, previous assignment: 0.968
Epoch: 39, NMI against class labels: 0.105, domain labels: 0.624, previous assignment: 0.960
Epoch: 40, NMI against class labels: 0.107, domain labels: 0.624, previous assignment: 0.960
Epoch: 41, NMI against class labels: 0.107, domain labels: 0.624, previous assignment: 0.993
Epoch: 42, NMI against class labels: 0.109, domain labels: 0.624, previous assignment: 0.964
Epoch: 43, NMI against class labels: 0.109, domain labels: 0.622, previous assignment: 0.979
Epoch: 44, NMI against class labels: 0.108, domain labels: 0.624, previous assignment: 0.979
Epoch: 45, NMI against class labels: 0.106, domain labels: 0.625, previous assignment: 0.931
Epoch: 46, NMI against class labels: 0.108, domain labels: 0.624, previous assignment: 0.967
Epoch: 47, NMI against class labels: 0.107, domain labels: 0.624, previous assignment: 0.943
Epoch: 48, NMI against class labels: 0.104, domain labels: 0.626, previous assignment: 0.938
Epoch: 49, NMI against class labels: 0.104, domain labels: 0.626, previous assignment: 0.998
Epoch: 50, NMI against class labels: 0.104, domain labels: 0.626, previous assignment: 0.994
Epoch: 51, NMI against class labels: 0.105, domain labels: 0.626, previous assignment: 0.980
Epoch: 52, NMI against class labels: 0.105, domain labels: 0.626, previous assignment: 0.994
Epoch: 53, NMI against class labels: 0.105, domain labels: 0.626, previous assignment: 0.993
Epoch: 54, NMI against class labels: 0.106, domain labels: 0.626, previous assignment: 0.991
Epoch: 55, NMI against class labels: 0.105, domain labels: 0.626, previous assignment: 0.984
Epoch: 56, NMI against class labels: 0.106, domain labels: 0.626, previous assignment: 0.982
Epoch: 57, NMI against class labels: 0.106, domain labels: 0.626, previous assignment: 0.987
Epoch: 58, NMI against class labels: 0.105, domain labels: 0.626, previous assignment: 0.991
Epoch: 59, NMI against class labels: 0.106, domain labels: 0.626, previous assignment: 0.988
