Epoch: 0, NMI against class labels: 0.055, domain labels: 0.798, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.060, domain labels: 0.689, previous assignment: 0.786
Epoch: 2, NMI against class labels: 0.060, domain labels: 0.696, previous assignment: 0.922
Epoch: 3, NMI against class labels: 0.059, domain labels: 0.705, previous assignment: 0.939
Epoch: 4, NMI against class labels: 0.062, domain labels: 0.696, previous assignment: 0.921
Epoch: 5, NMI against class labels: 0.058, domain labels: 0.717, previous assignment: 0.919
Epoch: 6, NMI against class labels: 0.059, domain labels: 0.718, previous assignment: 0.949
Epoch: 7, NMI against class labels: 0.058, domain labels: 0.721, previous assignment: 0.933
Epoch: 8, NMI against class labels: 0.062, domain labels: 0.712, previous assignment: 0.918
Epoch: 9, NMI against class labels: 0.060, domain labels: 0.716, previous assignment: 0.931
Epoch: 10, NMI against class labels: 0.058, domain labels: 0.734, previous assignment: 0.927
Epoch: 11, NMI against class labels: 0.058, domain labels: 0.734, previous assignment: 0.937
Epoch: 12, NMI against class labels: 0.056, domain labels: 0.752, previous assignment: 0.877
Epoch: 13, NMI against class labels: 0.058, domain labels: 0.726, previous assignment: 0.874
Epoch: 14, NMI against class labels: 0.058, domain labels: 0.747, previous assignment: 0.879
Epoch: 15, NMI against class labels: 0.057, domain labels: 0.746, previous assignment: 0.906
Epoch: 16, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.933
Epoch: 17, NMI against class labels: 0.058, domain labels: 0.717, previous assignment: 0.864
Epoch: 18, NMI against class labels: 0.057, domain labels: 0.736, previous assignment: 0.884
Epoch: 19, NMI against class labels: 0.057, domain labels: 0.752, previous assignment: 0.920
Epoch: 20, NMI against class labels: 0.058, domain labels: 0.727, previous assignment: 0.884
Epoch: 21, NMI against class labels: 0.059, domain labels: 0.726, previous assignment: 0.908
Epoch: 22, NMI against class labels: 0.057, domain labels: 0.736, previous assignment: 0.908
Epoch: 23, NMI against class labels: 0.058, domain labels: 0.735, previous assignment: 0.925
Epoch: 24, NMI against class labels: 0.058, domain labels: 0.739, previous assignment: 0.954
Epoch: 25, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.968
Epoch: 26, NMI against class labels: 0.058, domain labels: 0.740, previous assignment: 0.976
Epoch: 27, NMI against class labels: 0.058, domain labels: 0.742, previous assignment: 0.987
Epoch: 28, NMI against class labels: 0.058, domain labels: 0.744, previous assignment: 0.985
Epoch: 29, NMI against class labels: 0.057, domain labels: 0.748, previous assignment: 0.984
Epoch: 30, NMI against class labels: 0.058, domain labels: 0.744, previous assignment: 0.982
Epoch: 31, NMI against class labels: 0.057, domain labels: 0.747, previous assignment: 0.988
Epoch: 32, NMI against class labels: 0.058, domain labels: 0.743, previous assignment: 0.986
Epoch: 33, NMI against class labels: 0.058, domain labels: 0.743, previous assignment: 0.988
Epoch: 34, NMI against class labels: 0.058, domain labels: 0.744, previous assignment: 0.992
Epoch: 35, NMI against class labels: 0.057, domain labels: 0.748, previous assignment: 0.976
Epoch: 36, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.963
Epoch: 37, NMI against class labels: 0.058, domain labels: 0.744, previous assignment: 0.986
Epoch: 38, NMI against class labels: 0.058, domain labels: 0.747, previous assignment: 0.986
Epoch: 39, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.991
Epoch: 40, NMI against class labels: 0.058, domain labels: 0.744, previous assignment: 0.993
Epoch: 41, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.987
Epoch: 42, NMI against class labels: 0.058, domain labels: 0.743, previous assignment: 0.988
Epoch: 43, NMI against class labels: 0.057, domain labels: 0.746, previous assignment: 0.983
Epoch: 44, NMI against class labels: 0.058, domain labels: 0.747, previous assignment: 0.979
Epoch: 45, NMI against class labels: 0.058, domain labels: 0.747, previous assignment: 0.985
Epoch: 46, NMI against class labels: 0.058, domain labels: 0.750, previous assignment: 0.986
Epoch: 47, NMI against class labels: 0.058, domain labels: 0.748, previous assignment: 0.981
Epoch: 48, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.984
Epoch: 49, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.997
Epoch: 50, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.998
Epoch: 51, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.999
Epoch: 52, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 1.000
Epoch: 53, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.997
Epoch: 54, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.999
Epoch: 55, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.998
Epoch: 56, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.999
Epoch: 57, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.998
Epoch: 58, NMI against class labels: 0.058, domain labels: 0.746, previous assignment: 0.992
Epoch: 59, NMI against class labels: 0.058, domain labels: 0.745, previous assignment: 0.995
