Epoch: 0, NMI against class labels: 0.067, domain labels: 0.431, previous assignment: 0.000
Epoch: 1, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.474
Epoch: 2, NMI against class labels: 0.058, domain labels: 0.411, previous assignment: 0.742
Epoch: 3, NMI against class labels: 0.057, domain labels: 0.418, previous assignment: 0.787
Epoch: 4, NMI against class labels: 0.054, domain labels: 0.399, previous assignment: 0.886
Epoch: 5, NMI against class labels: 0.055, domain labels: 0.383, previous assignment: 0.483
Epoch: 6, NMI against class labels: 0.058, domain labels: 0.403, previous assignment: 0.500
Epoch: 7, NMI against class labels: 0.059, domain labels: 0.347, previous assignment: 0.533
Epoch: 8, NMI against class labels: 0.056, domain labels: 0.367, previous assignment: 0.670
Epoch: 9, NMI against class labels: 0.059, domain labels: 0.404, previous assignment: 0.493
Epoch: 10, NMI against class labels: 0.056, domain labels: 0.388, previous assignment: 0.856
Epoch: 11, NMI against class labels: 0.058, domain labels: 0.398, previous assignment: 0.890
Epoch: 12, NMI against class labels: 0.055, domain labels: 0.344, previous assignment: 0.495
Epoch: 13, NMI against class labels: 0.059, domain labels: 0.387, previous assignment: 0.611
Epoch: 14, NMI against class labels: 0.061, domain labels: 0.371, previous assignment: 0.868
Epoch: 15, NMI against class labels: 0.058, domain labels: 0.394, previous assignment: 0.461
Epoch: 16, NMI against class labels: 0.058, domain labels: 0.389, previous assignment: 0.874
Epoch: 17, NMI against class labels: 0.059, domain labels: 0.393, previous assignment: 0.891
Epoch: 18, NMI against class labels: 0.070, domain labels: 0.368, previous assignment: 0.515
Epoch: 19, NMI against class labels: 0.059, domain labels: 0.389, previous assignment: 0.506
Epoch: 20, NMI against class labels: 0.057, domain labels: 0.387, previous assignment: 0.907
Epoch: 21, NMI against class labels: 0.060, domain labels: 0.379, previous assignment: 0.462
Epoch: 22, NMI against class labels: 0.053, domain labels: 0.377, previous assignment: 0.811
Epoch: 23, NMI against class labels: 0.058, domain labels: 0.383, previous assignment: 0.489
Epoch: 24, NMI against class labels: 0.059, domain labels: 0.388, previous assignment: 0.465
Epoch: 25, NMI against class labels: 0.060, domain labels: 0.390, previous assignment: 0.875
Epoch: 26, NMI against class labels: 0.057, domain labels: 0.387, previous assignment: 0.920
Epoch: 27, NMI against class labels: 0.057, domain labels: 0.382, previous assignment: 0.951
Epoch: 28, NMI against class labels: 0.056, domain labels: 0.381, previous assignment: 0.962
Epoch: 29, NMI against class labels: 0.058, domain labels: 0.380, previous assignment: 0.928
Epoch: 30, NMI against class labels: 0.059, domain labels: 0.383, previous assignment: 0.933
Epoch: 31, NMI against class labels: 0.059, domain labels: 0.381, previous assignment: 0.955
Epoch: 32, NMI against class labels: 0.057, domain labels: 0.382, previous assignment: 0.953
Epoch: 33, NMI against class labels: 0.057, domain labels: 0.381, previous assignment: 0.988
Epoch: 34, NMI against class labels: 0.056, domain labels: 0.380, previous assignment: 0.938
Epoch: 35, NMI against class labels: 0.055, domain labels: 0.381, previous assignment: 0.957
Epoch: 36, NMI against class labels: 0.060, domain labels: 0.386, previous assignment: 0.912
Epoch: 37, NMI against class labels: 0.059, domain labels: 0.382, previous assignment: 0.939
Epoch: 38, NMI against class labels: 0.060, domain labels: 0.382, previous assignment: 0.956
Epoch: 39, NMI against class labels: 0.059, domain labels: 0.384, previous assignment: 0.967
Epoch: 40, NMI against class labels: 0.060, domain labels: 0.382, previous assignment: 0.956
Epoch: 41, NMI against class labels: 0.057, domain labels: 0.379, previous assignment: 0.924
Epoch: 42, NMI against class labels: 0.059, domain labels: 0.378, previous assignment: 0.964
Epoch: 43, NMI against class labels: 0.062, domain labels: 0.380, previous assignment: 0.872
Epoch: 44, NMI against class labels: 0.060, domain labels: 0.378, previous assignment: 0.903
Epoch: 45, NMI against class labels: 0.060, domain labels: 0.379, previous assignment: 0.967
Epoch: 46, NMI against class labels: 0.059, domain labels: 0.380, previous assignment: 0.908
Epoch: 47, NMI against class labels: 0.061, domain labels: 0.382, previous assignment: 0.924
Epoch: 48, NMI against class labels: 0.059, domain labels: 0.379, previous assignment: 0.934
Epoch: 49, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.991
Epoch: 50, NMI against class labels: 0.058, domain labels: 0.378, previous assignment: 0.987
Epoch: 51, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.991
Epoch: 52, NMI against class labels: 0.059, domain labels: 0.379, previous assignment: 0.992
Epoch: 53, NMI against class labels: 0.059, domain labels: 0.380, previous assignment: 0.995
Epoch: 54, NMI against class labels: 0.059, domain labels: 0.380, previous assignment: 1.000
Epoch: 55, NMI against class labels: 0.059, domain labels: 0.380, previous assignment: 0.985
Epoch: 56, NMI against class labels: 0.059, domain labels: 0.380, previous assignment: 0.986
Epoch: 57, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.993
Epoch: 58, NMI against class labels: 0.058, domain labels: 0.380, previous assignment: 0.997
Epoch: 59, NMI against class labels: 0.058, domain labels: 0.379, previous assignment: 0.994
